item,quantity,ship_date,customer_name,customer_address
Anvil,1,2/3/23,Wile E Coyote,123 Desert Station
Dynamite,2,,Daffy Duck,White Rock Lake
Bird Seed,1,,Wile E Coyote,123 Desert Station
Rocket Skates,1,2/5/23,Wile E Coyote,123 Desert Station
Carrots,12,2/6/23,Bugs Bunny,Rabbit Hole Lane
Anvil,3,,Daffy Duck,White Rock Lake
Giant Rubber Band,1,,Wile E Coyote,124 Desert Station
Bird Seed,5,2/7/23,Road Runner,Route 66 Milepost 9
Earmuffs,2,,Bugs Bunny,Rabbit Hole Lane
Dehydrated Boulders,1,,Wile E Coyote,123 Desert Station
