name,phone,product
Dr. Eran Yahav,323-708-7700,BTR KRNL WK CORN 15Z
Bill Gates Sr.,(425)-706-7709,CAMP DRY DBL NDL 3.6 OZ
Oege de Moor,510.220.5586,CHORE BOY HD SC SPNG 1 PK
Nancy FreeHafer,1 425 235 7654,FRENCH WORCESTERSHIRE 5 Z
Ken McMillan,425-706-7709,O F TOMATO PASTE 6 OZ
Kathy J. Lopez,+1 (206) 555 0143,JUMBO ZIPLOC 2 PK 20Z
Andrew Cencini,206 555-0198,HONEY 12Z
Jan Kotas,1-425-555-0102,SEA SALT 26 OZ
Mariya Sergienko,(425) 555 0184,BRWN RICE 2LB
Steven Thorpe,425.555.0119,MAPLE SYRUP 8 OZ
