employee_id,name,salary,department
E10297,Tyler Bennett,32000,D101
E21437,John Rappl,47000,D050
E00127,George Woltman,53500,D101
E63535,Adam Smith,18000,D202
E39876,Claire Buckman,27800,D202
E04242,David McClellan,41500,D101
E41298,Nathan Adams,21900,D050
E43128,Richard Potter,15900,D101
E27690,Kim Arlich,57000,D190
E36555,Timothy Grove,29900,D190
E11923,Priya Raman,44100,D202
E22011,Louis Marchetti,36400,D050
E58902,Hana Kobayashi,50200,D190
E70031,Marcus Oyelaran,23300,D202
E71277,Eva Lindqvist,47000,D050
